Feature	A_lyrata1	A_lyrata2	A_thal1	A_thal2	Aethionema_arabicum1	Brassica_oleracea1	Brassica_oleracea2	Brassica_rapa1	Brassica_rapa2	C_grandiflora1	C_grandiflora2	C_rubella1	C_rubella2	Euclidium_syriacum1	Euclidium_syriacum2	Eutrema_salsugineum1	Eutrema_salsugineum2	Raphanus_sativus1	Raphanus_sativus2
busco_10001	0.0849	0.0836	0.0897	0.0876	0.0918	0.0821	0.0829	0.0905	0.0863	0.0826	0.0832	0.0837	0.0823	0.0812	0.0828	0.0844	0.0826	0.0836	0.0843
busco_10036	0.0912	0.094	0.0944	0.0939	0.0993	0.0866	0.0855	0.0944	0.0922	0.0873	0.0893	0.0873	0.0863	0.0848	0.0858	0.0971	0.0938	0.0866	0.0868
busco_10059	0.0965	0.0984	0.0996	0.0991	0.1024	0.1002	0.1017	0.1069	0.1056	0.0938	0.0951	0.0933	0.0934	0.0974	0.0957	0.1011	0.0985	0.0982	0.1005
busco_10071	0.1269	0.1291	0.1262	0.1247	0.1332	0.121	0.123	0.1367	0.1333	0.1131	0.1176	0.1171	0.1169	0.1257	0.124	0.1285	0.1246	0.1193	0.1179
busco_10077	0.0927	0.0936	0.095	0.0932	0.0938	0.092	0.0931	0.0992	0.0976	0.0918	0.0931	0.0899	0.0914	0.0916	0.0914	0.0981	0.0938	0.0917	0.0915
busco_10143	0.0924	0.0927	0.0955	0.0932	0.0942	0.0909	0.0912	0.0972	0.1011	0.089	0.0917	0.0887	0.0914	0.0879	0.088	0.1001	0.0951	0.0868	0.0871
busco_10166	0.0792	0.079	0.0799	0.0792	0.0753	0.0695	0.0714	0.0761	0.075	0.0762	0.0784	0.0799	0.0785	0.0736	0.0742	0.0765	0.0739	0.0718	0.0727
busco_10241	0.0857	0.0865	0.0863	0.0855	0.0834	0.0812	0.0808	0.0828	0.0815	0.0839	0.086	0.0835	0.0851	0.0812	0.0811	0.0839	0.0804	0.0767	0.0787
busco_10280	0.0841	0.0827	0.0863	0.0883	0.0805	0.0803	0.0814	0.0847	0.0833	0.08	0.0788	0.0802	0.0808	0.0787	0.0785	0.0922	0.0862	0.0793	0.0806
busco_10313	0.0874	0.0892	0.0866	0.0851	0.0915	0.0854	0.0862	0.0876	0.0916	0.0805	0.0806	0.0804	0.0813	0.0818	0.0824	0.0883	0.0849	0.0809	0.0801
busco_1034	0.1124	0.1136	0.1112	0.1093	0.12	0.11	0.1098	0.1194	0.1178	0.1035	0.1034	0.1023	0.1047	0.108	0.1098	0.1128	0.1112	0.1086	0.1075
busco_10345	0.099	0.1011	0.1002	0.1016	0.097	0.0965	0.0973	0.103	0.1041	0.0998	0.1004	0.102	0.0998	0.0934	0.0961	0.102	0.0969	0.0979	0.098
busco_10362	0.0963	0.0944	0.0926	0.0953	0.1012	0.0931	0.0931	0.1001	0.0964	0.0887	0.0872	0.0892	0.09	0.0934	0.0931	0.0991	0.096	0.0917	0.0926
busco_1037	0.1096	0.1124	0.1089	0.1086	0.1132	0.1069	0.1073	0.1136	0.1119	0.1014	0.1003	0.1022	0.1036	0.1044	0.1051	0.1128	0.1085	0.1037	0.1045
busco_10387	0.0971	0.0936	0.099	0.0981	0.095	0.0862	0.0905	0.0934	0.0904	0.09	0.0921	0.0892	0.0922	0.0971	0.0987	0.0893	0.0889	0.0878	0.0859
busco_10402	0.0774	0.0785	0.0828	0.0792	0.08	0.0735	0.0742	0.0775	0.0797	0.0793	0.0797	0.0801	0.0798	0.0769	0.0755	0.081	0.0775	0.0735	0.0738
busco_10430	0.0869	0.0894	0.0915	0.0918	0.0862	0.0853	0.0853	0.0924	0.0898	0.0826	0.0834	0.0853	0.0829	0.0861	0.0858	0.0883	0.0857	0.0812	0.0796
busco_10432	0.1093	0.1099	0.1089	0.1072	0.1167	0.1057	0.1081	0.1146	0.1154	0.1084	0.1078	0.1048	0.1067	0.1117	0.1128	0.107	0.1041	0.1054	0.1054
busco_10491	0.0782	0.079	0.0805	0.0813	0.0773	0.0731	0.0751	0.079	0.0797	0.077	0.0784	0.0777	0.0788	0.0775	0.0759	0.0756	0.0732	0.0735	0.0743
busco_10502	0.0876	0.0875	0.0886	0.0883	0.0925	0.0862	0.0863	0.0867	0.0898	0.0801	0.0816	0.0803	0.0821	0.0848	0.086	0.0854	0.0835	0.0851	0.0858
busco_1051	0.0986	0.0969	0.0973	0.0981	0.1042	0.0972	0.0971	0.103	0.1006	0.0927	0.0944	0.0921	0.0933	0.0952	0.0948	0.102	0.1005	0.0957	0.0947
busco_10513	0.1148	0.1111	0.1141	0.1121	0.116	0.1107	0.1149	0.1242	0.1208	0.1047	0.1059	0.1097	0.1102	0.1123	0.115	0.1168	0.1116	0.1084	0.1061
busco_10533	0.0837	0.0861	0.0903	0.0883	0.0878	0.0891	0.0895	0.0934	0.0922	0.0849	0.0836	0.0865	0.0841	0.0848	0.0858	0.0893	0.0875	0.0908	0.0882
busco_10540	0.0935	0.0953	0.0938	0.0911	0.0928	0.0893	0.0899	0.0944	0.0946	0.0908	0.0923	0.0917	0.0924	0.0867	0.0875	0.0942	0.0929	0.0868	0.0859
