A_lyrata1	A_lyrata2	A_thal1	A_thal2	Aethionema_arabicum1	Brassica_oleracea1	Brassica_oleracea2	Brassica_rapa1	Brassica_rapa2	C_grandiflora1	C_grandiflora2	C_rubella1	C_rubella2	Euclidium_syriacum1	Euclidium_syriacum2	Eutrema_salsugineum1	Eutrema_salsugineum2	Raphanus_sativus1	Raphanus_sativus2
A_lyrata1	0	0.461544277385342	1.55673355810409	1.5431801508491	1.83050463210261	1.34609585923421	1.31580438628178	1.64788396565072	1.56468760909415	1.7898768168709	1.69282887277364	1.62465897429491	1.5032635711638	1.23850555106148	1.23808442402789	1.63035426141086	1.53074503975631	1.6626341074471	1.7216021242435
A_lyrata2	0.461544277385342	0	1.52220416196091	1.50873836744857	1.8035877314798	1.30820717202984	1.27743980510629	1.61643283220475	1.5318495699197	1.76307985085884	1.66429016251831	1.59404684750781	1.47017481809049	1.1989921749221	1.19874429748289	1.59684594258153	1.49495736353783	1.63283867678851	1.69311734568851
A_thal1	1.55673355810409	1.52220416196091	0	0.611961216883051	1.97549260280952	1.53356080731339	1.50805243132361	1.79151459898103	1.71382760993478	1.92012742693137	1.83087786643089	1.76998829383219	1.65910037979963	1.44269406608384	1.44270345897467	1.783552172116	1.69403278767007	1.81129166340756	1.86527514222462
A_thal2	1.5431801508491	1.50873836744857	0.611961216883051	0	1.96323672690037	1.51853665032002	1.49262154659864	1.77917937337966	1.70092156430155	1.90846604107628	1.81856136651409	1.75710978819282	1.64522555014617	1.42580432804331	1.4257836479106	1.77078867879255	1.68034365272758	1.79862015792515	1.8530279097682
Aethionema_arabicum1	1.83050463210261	1.8035877314798	1.97549260280952	1.96323672690037	0	1.77272923136947	1.75029529235398	2.00351928802005	1.93883658296617	2.12941954164669	2.0496921751928	1.99420619697991	1.89930615314292	1.69759307349968	1.69739395881259	1.99263088588492	1.91371531032571	2.02656048249374	2.07500951796352
Brassica_oleracea1	1.34609585923421	1.30820717202984	1.53356080731339	1.51853665032002	1.77272923136947	0	0.21685769250661	1.23513542979528	1.11564520467102	1.72502586420836	1.62563580899648	1.55524503942834	1.43190246217565	1.16808477472509	1.16798567480721	1.56222233690509	1.4580896394138	1.5197702781699	1.58286337750053
Brassica_oleracea2	1.31580438628178	1.27743980510629	1.50805243132361	1.49262154659864	1.75029529235398	0.21685769250661	0	1.24241953301796	1.12773073597905	1.70503792594555	1.60412846571636	1.53291088257156	1.40674929066875	1.13139567062321	1.13125253843193	1.53757951578128	1.43181071973884	1.49946268863352	1.56307775929716
Brassica_rapa1	1.64788396565072	1.61643283220475	1.79151459898103	1.77917937337966	2.00351928802005	1.23513542979528	1.24241953301796	0	0.513274359847768	1.93938249331482	1.85411963639128	1.7972871648364	1.69258313451962	1.49700682575051	1.49699069371493	1.8157079970908	1.72908532690433	1.76061837654865	1.81297570405879
Brassica_rapa2	1.56468760909415	1.5318495699197	1.71382760993478	1.70092156430155	1.93883658296617	1.11564520467102	1.12773073597905	0.513274359847768	0	1.87146753787385	1.78246309569699	1.72334672654913	1.61263633176868	1.40269631458746	1.40261534947605	1.7429699989152	1.65200171951478	1.68244930203917	1.73793778841293
C_grandiflora1	1.7898768168709	1.76307985085884	1.92012742693137	1.90846604107628	2.12941954164669	1.72502586420836	1.70503792594555	1.93938249331482	1.87146753787385	0	0.428206042873835	0.603011586357916	0.673663723662317	1.67174158088354	1.67160590507739	1.95189689979232	1.87337162846855	1.96287000706864	2.01084242172251
C_grandiflora2	1.69282887277364	1.66429016251831	1.83087786643089	1.81856136651409	2.0496921751928	1.62563580899648	1.60412846571636	1.85411963639128	1.78246309569699	0.428206042873835	0	0.578901706119334	0.58052523262989	1.56569216382176	1.56555510822179	1.86510141135521	1.78229300128675	1.87802371881791	1.92836488666499
C_rubella1	1.62465897429491	1.59404684750781	1.76998829383219	1.75710978819282	1.99420619697991	1.55524503942834	1.53291088257156	1.7972871648364	1.72334672654913	0.603011586357916	0.578901706119334	0	0.366362661163249	1.49339885656263	1.49326635219083	1.80498472160631	1.71879274814504	1.82024473792664	1.87244194434731
C_rubella2	1.5032635711638	1.47017481809049	1.65910037979963	1.64522555014617	1.89930615314292	1.43190246217565	1.40674929066875	1.69258313451962	1.61263633176868	0.673663723662317	0.58052523262989	0.366362661163249	0	1.35543141468332	1.3553021262466	1.69863716985654	1.60632856021546	1.71693509084432	1.77251986282178
Euclidium_syriacum1	1.23850555106148	1.1989921749221	1.44269406608384	1.42580432804331	1.69759307349968	1.16808477472509	1.13139567062321	1.49700682575051	1.40269631458746	1.67174158088354	1.56569216382176	1.49339885656263	1.35543141468332	0	0.0943787780640006	1.47978481007472	1.36982327840744	1.52192443068458	1.58663547873834
Euclidium_syriacum2	1.23808442402789	1.19874429748289	1.44270345897467	1.4257836479106	1.69739395881259	1.16798567480721	1.13125253843193	1.49699069371493	1.40261534947605	1.67160590507739	1.56555510822179	1.49326635219083	1.3553021262466	0.0943787780640006	0	1.47989423102813	1.3698907976427	1.52175986745175	1.58645181676323
Eutrema_salsugineum1	1.63035426141086	1.59684594258153	1.783552172116	1.77078867879255	1.99263088588492	1.56222233690509	1.53757951578128	1.8157079970908	1.7429699989152	1.95189689979232	1.86510141135521	1.80498472160631	1.69863716985654	1.47978481007472	1.47989423102813	0	0.537696101626574	1.84112356714571	1.89438403151156
Eutrema_salsugineum2	1.53074503975631	1.49495736353783	1.69403278767007	1.68034365272758	1.91371531032571	1.4580896394138	1.43181071973884	1.72908532690433	1.65200171951478	1.87337162846855	1.78229300128675	1.71879274814504	1.60632856021546	1.36982327840744	1.3698907976427	0.537696101626574	0	1.75406940433899	1.81025507688547
Raphanus_sativus1	1.6626341074471	1.63283867678851	1.81129166340756	1.79862015792515	2.02656048249374	1.5197702781699	1.49946268863352	1.76061837654865	1.68244930203917	1.96287000706864	1.87802371881791	1.82024473792664	1.71693509084432	1.52192443068458	1.52175986745175	1.84112356714571	1.75406940433899	0	0.212870243643046
Raphanus_sativus2	1.7216021242435	1.69311734568851	1.86527514222462	1.8530279097682	2.07500951796352	1.58286337750053	1.56307775929716	1.81297570405879	1.73793778841293	2.01084242172251	1.92836488666499	1.87244194434731	1.77251986282178	1.58663547873834	1.58645181676323	1.89438403151156	1.81025507688547	0.212870243643046	0
