A_lyrata1	A_lyrata2	A_thal1	A_thal2	Aethionema_arabicum1	Brassica_oleracea1	Brassica_oleracea2	Brassica_rapa1	Brassica_rapa2	C_grandiflora1	C_grandiflora2	C_rubella1	C_rubella2	Euclidium_syriacum1	Euclidium_syriacum2	Eutrema_salsugineum1	Eutrema_salsugineum2	Raphanus_sativus1	Raphanus_sativus2
A_lyrata1	0	0.558009827965098	1.75513420844926	1.73562235304536	2.2065161524285	1.50223872314476	1.49216448779772	1.85466202771117	1.72682118071726	1.87699135623197	1.77173289913885	1.72923289296817	1.632038952904	1.47125291587389	1.47347374610892	1.82244925225116	1.69746308192351	1.74395298913084	1.79431237966676
A_lyrata2	0.558009827965098	0	1.71016293298679	1.69110578954406	2.17310301871953	1.45128237415729	1.44114304152094	1.81421785433353	1.68361487687582	1.83987978571553	1.73203596607983	1.68687130034839	1.58788975668697	1.42234631266754	1.42390571260688	1.77887727124853	1.64968711945779	1.70162960472728	1.75391225143682
A_thal1	1.75513420844926	1.71016293298679	0	0.67005556553194	2.33286693066939	1.68724183717618	1.67869392158005	1.98835527655653	1.86785812738248	2.00805641263807	1.91142117059364	1.87540549549532	1.78275108573039	1.65450103429819	1.65684970947769	1.9688247454223	1.85598876566008	1.89405247119049	1.94000870840537
A_thal2	1.73562235304536	1.69110578954406	0.67005556553194	0	2.31729182203992	1.66627369637234	1.6575361852158	1.97103115077088	1.84964154173105	1.99053301731417	1.89307005281051	1.85643300046465	1.7623720232291	1.63216897063624	1.63492215112124	1.95126744169447	1.83697104457793	1.87550457111634	1.92174964128806
Aethionema_arabicum1	2.2065161524285	2.17310301871953	2.33286693066939	2.31729182203992	0	2.11293424436923	2.10637146237114	2.36416688551311	2.26876930072859	2.38542240271897	2.30655499188249	2.27374429541782	2.20493313223601	2.09927664319873	2.10030591813258	2.34644047956749	2.25259838749646	2.2893167851844	2.32769550965886
Brassica_oleracea1	1.50223872314476	1.45128237415729	1.68724183717618	1.66627369637234	2.11293424436923	0	0.267706872301217	1.50522111495717	1.32836671632997	1.77072073223129	1.66024131183443	1.61284931393947	1.51252788830536	1.34375983928889	1.34572933747959	1.7067133686294	1.57093668682842	1.53429643747754	1.5904580705663
Brassica_oleracea2	1.49216448779772	1.44114304152094	1.67869392158005	1.6575361852158	2.10637146237114	0.267706872301217	0	1.51002953344717	1.34224119413492	1.76417174831891	1.65314025883529	1.60617614869796	1.50456196096939	1.33001863267533	1.33174200388468	1.69859544485275	1.56242150990889	1.53053901334252	1.58615146246229
Brassica_rapa1	1.85466202771117	1.81421785433353	1.98835527655653	1.97103115077088	2.36416688551311	1.50522111495717	1.51002953344717	0	0.59805045846653	2.04143176357352	1.95008000712509	1.91599294493795	1.83149553944864	1.7201852106265	1.72199691968542	2.01071545008653	1.90263863617702	1.85896066357067	1.90434892268307
Brassica_rapa2	1.72682118071726	1.68361487687582	1.86785812738248	1.84964154173105	2.26876930072859	1.32836671632997	1.34224119413492	0.59805045846653	0	1.92934811960253	1.83147623498161	1.7959347423761	1.70362507184034	1.57646014014654	1.57811916992518	1.89623332177499	1.78043458094662	1.72880115080039	1.77826213850026
C_grandiflora1	1.87699135623197	1.83987978571553	2.00805641263807	1.99053301731417	2.38542240271897	1.77072073223129	1.76417174831891	2.04143176357352	1.92934811960253	0	0.459053306861852	0.644193381077157	0.703190351689599	1.762435371226	1.76413498059085	2.04001357079682	1.93437015222605	1.95762730880964	2.00066768382355
C_grandiflora2	1.77173289913885	1.73203596607983	1.91142117059364	1.89307005281051	2.30655499188249	1.66024131183443	1.65314025883529	1.95008000712509	1.83147623498161	0.459053306861852	0	0.609679180492741	0.608362137730146	1.64863658488572	1.65046704581902	1.94616598881709	1.83439189532797	1.8604870450579	1.90597423175207
C_rubella1	1.72923289296817	1.68687130034839	1.87540549549532	1.85643300046465	2.27374429541782	1.61284931393947	1.60617614869796	1.91599294493795	1.7959347423761	0.644193381077157	0.609679180492741	0	0.415077482880251	1.60711947678016	1.60884762576723	1.90847212743724	1.79308368853837	1.82327442745156	1.87010159719492
C_rubella2	1.632038952904	1.58788975668697	1.78275108573039	1.7623720232291	2.20493313223601	1.51252788830536	1.50456196096939	1.83149553944864	1.70362507184034	0.703190351689599	0.608362137730146	0.415077482880251	0	1.49469023116966	1.49703833438406	1.82220390256902	1.70162811029444	1.73369467135151	1.78284961660703
Euclidium_syriacum1	1.47125291587389	1.42234631266754	1.65450103429819	1.63216897063624	2.09927664319873	1.34375983928889	1.33001863267533	1.7201852106265	1.57646014014654	1.762435371226	1.64863658488572	1.60711947678016	1.49469023116966	0	0.138464932705218	1.68546936628261	1.5509740200493	1.60349336809117	1.65835440563951
Euclidium_syriacum2	1.47347374610892	1.42390571260688	1.65684970947769	1.63492215112124	2.10030591813258	1.34572933747959	1.33174200388468	1.72199691968542	1.57811916992518	1.76413498059085	1.65046704581902	1.60884762576723	1.49703833438406	0.138464932705218	0	1.68751024575064	1.55274988575755	1.6047689571916	1.65978959605322
Eutrema_salsugineum1	1.82244925225116	1.77887727124853	1.9688247454223	1.95126744169447	2.34644047956749	1.7067133686294	1.69859544485275	2.01071545008653	1.89623332177499	2.04001357079682	1.94616598881709	1.90847212743724	1.82220390256902	1.68546936628261	1.68751024575064	0	0.62218526424435	1.92002025681624	1.96573012869752
Eutrema_salsugineum2	1.69746308192351	1.64968711945779	1.85598876566008	1.83697104457793	2.25259838749646	1.57093668682842	1.56242150990889	1.90263863617702	1.78043458094662	1.93437015222605	1.83439189532797	1.79308368853837	1.70162811029444	1.5509740200493	1.55274988575755	0.62218526424435	0	1.80261803172586	1.85186156668115
Raphanus_sativus1	1.74395298913084	1.70162960472728	1.89405247119049	1.87550457111634	2.2893167851844	1.53429643747754	1.53053901334252	1.85896066357067	1.72880115080039	1.95762730880964	1.8604870450579	1.82327442745156	1.73369467135151	1.60349336809117	1.6047689571916	1.92002025681624	1.80261803172586	0	0.266222651524541
Raphanus_sativus2	1.79431237966676	1.75391225143682	1.94000870840537	1.92174964128806	2.32769550965886	1.5904580705663	1.58615146246229	1.90434892268307	1.77826213850026	2.00066768382355	1.90597423175207	1.87010159719492	1.78284961660703	1.65835440563951	1.65978959605322	1.96573012869752	1.85186156668115	0.266222651524541	0
